StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ExternalReference,DistributionChannel,UserLanguage,Q29,Q31,Q31,Q4,Q20,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q18,Q20,ID,FL_8_DO
3/4/2021 20:00,3/4/2021 20:03,IP Address,100,195,TRUE,3/4/2021 20:03,R_2TGkfH7E6Cz7msW,6216,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Very Likely,Likely,Unsure,Agree,Agree,Disagree,Strongly agree,Strongly agree,Unsure,Agree,Disagree,Strongly agree,Disagree,Disagree,Unsure,Agree,Agree,Agree,No,Prefer not to say,Asian,"$90,000 to $149,999",Liberal,Slightly Too Liow,Slightly knowledgeable,Once a Week,Once a Month,6216,Treatment1
3/4/2021 20:06,3/4/2021 20:09,IP Address,100,199,TRUE,3/4/2021 20:09,R_3GlFOyAmtxGcDjg,6178,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Likely,Likely,Unsure,Strongly Disagree,Strongly agree,Disagree,Strongly agree,Unsure,Strongly agree,Agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Unsure,Strongly agree,Yes,Female,White,"$90,000 to $149,999",Very Liberal,Too Low,Very knowledgeable,A Few Times a Month,Once a Week,6178,Treatment1
3/4/2021 19:33,3/4/2021 20:23,IP Address,100,3026,TRUE,3/4/2021 20:23,R_29iyc7jjOVKKuzX,5605,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Unlikely,Unlikely,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Unsure,Disagree,Agree,Disagree,Disagree,Agree,Agree,No,Female,Asian,"$150,000 or above",Centrist/Moderate,Slightly Too Liow,Slightly knowledgeable,A Few Times a Week,Never or Rarely,5605,Treatment2
3/4/2021 20:25,3/4/2021 20:30,IP Address,100,251,TRUE,3/4/2021 20:30,R_29PSZK1pPu0KQmZ,6215,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Very Likely,Neither Unlikely Nor Likely,Strongly Disagree,Strongly Disagree,Strongly agree,Unsure,Strongly agree,Unsure,Agree,Agree,Strongly Disagree,Strongly agree,Strongly Disagree,Disagree,Strongly Disagree,Unsure,Strongly Disagree,Strongly agree,Yes,Male,Latino or Hispanic,"$60,000 to $89,999",,Too Low,Slightly knowledgeable,A Few Times a Month,Never or Rarely,6215,Treatment2
3/4/2021 20:40,3/4/2021 20:45,IP Address,100,285,TRUE,3/4/2021 20:45,R_1Hq3fUoRCxKseW7,4742,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Very Likely,Very Likely,Strongly agree,Unsure,Agree,Unsure,Strongly agree,Agree,Strongly agree,Agree,Strongly Disagree,Unsure,Strongly Disagree,Unsure,Disagree,Agree,Unsure,Strongly agree,Yes,Female,White,"$150,000 or above",Liberal,Just About Right,Moderately knowledgeable,A Few Times a Month,A Few Times a Month,4742,Treatment1
3/4/2021 21:10,3/4/2021 21:11,IP Address,100,94,TRUE,3/4/2021 21:11,R_1mVnUAPq9ldAeb1,4399,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Likely,Likely,Disagree,Unsure,Unsure,Agree,Disagree,Unsure,Unsure,Unsure,Agree,Unsure,Disagree,Strongly Disagree,Strongly agree,Agree,Unsure,Unsure,Yes,Male,White,"$150,000 or above",Conservative,Just About Right,Moderately knowledgeable,A Few Times a Month,A Few Times a Month,4399,Treatment1
3/4/2021 21:11,3/4/2021 21:15,IP Address,100,238,TRUE,3/4/2021 21:15,R_1oqkp6apWOCtk8d,6245,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Very Likely,Very Likely,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Unsure,Strongly agree,Yes,Male,White,"$150,000 or above",Liberal,Slightly Too Liow,Moderately knowledgeable,A Few Times a Week,A Few Times a Week,6245,Treatment2
3/4/2021 21:42,3/4/2021 21:44,IP Address,100,152,TRUE,3/4/2021 21:44,R_24kf4jsBHtLiYNi,4258,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Likely,Likely,Unsure,Agree,Strongly agree,Agree,Strongly agree,Unsure,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Unsure,Unsure,Agree,Yes,Female,White,"$150,000 or above",Lean LIberal,Too High,Moderately knowledgeable,A Few Times a Month,A Few Times a Month,4258,Treatment1
3/4/2021 22:01,3/4/2021 22:07,IP Address,100,359,TRUE,3/4/2021 22:07,R_a9IusvoCU8R1a01,5798,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Very Unlikely,Unlikely,Disagree,Agree,Agree,Agree,Agree,Agree,Unsure,Agree,Agree,Strongly agree,Disagree,Disagree,Unsure,Unsure,Agree,Disagree,Yes,Male,White,"$150,000 or above",Centrist/Moderate,Far Too High,Moderately knowledgeable,Once a Week,Never or Rarely,5798,Treatment2
3/4/2021 22:23,3/4/2021 22:26,IP Address,100,184,TRUE,3/4/2021 22:26,R_PNx9aZyCalNKOSl,3567,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Very Likely,Likely,Unsure,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly Disagree,Unsure,Disagree,Disagree,Unsure,Strongly agree,Yes,Female,White,"$150,000 or above",Liberal,Too High,Moderately knowledgeable,A Few Times a Week,Once a Week,3567,Treatment2
3/4/2021 23:07,3/4/2021 23:09,IP Address,100,88,TRUE,3/4/2021 23:09,R_XvKEwGFeFudVqet,6068,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",5/4/2021,North America,Neither Unlikely Nor Likely,Neither Unlikely Nor Likely,Unsure,Disagree,Disagree,Disagree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree,Unsure,Unsure,Unsure,Unsure,Strongly agree,Yes,Female,Asian,"$60,000 to $89,999",Very Liberal,Far Too High,Moderately knowledgeable,A Few Times a Week,Once a Week,6068,Treatment1
3/4/2021 23:14,3/4/2021 23:17,IP Address,100,201,TRUE,3/4/2021 23:17,R_3r0RUVfgRDLVVjJ,5576,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Likely,Likely,Agree,Disagree,Agree,Unsure,Agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly Disagree,Agree,Disagree,Agree,Unsure,Agree,Yes,Female,White,"$90,000 to $149,999",Lean LIberal,Slightly Too High,Moderately knowledgeable,Once a Week,A Few Times a Month,5576,Treatment1
3/4/2021 23:14,3/4/2021 23:18,IP Address,100,236,TRUE,3/4/2021 23:18,R_3me2mUUMQEsQYug,4470,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Very Likely,Very Likely,Strongly agree,Unsure,Agree,Unsure,Strongly agree,Agree,Strongly agree,Agree,Unsure,Agree,Strongly Disagree,Unsure,Strongly Disagree,Strongly agree,Disagree,Strongly agree,Yes,Male,White,"$90,000 to $149,999",Very Liberal,Slightly Too High,Moderately knowledgeable,Once a Week,Once a Month,4470,Treatment2
3/4/2021 23:50,3/4/2021 23:54,IP Address,100,239,TRUE,3/4/2021 23:54,R_2917xvgaDYq4MeC,6007,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Very Likely,Very Likely,Strongly agree,Unsure,Agree,Agree,Strongly agree,Unsure,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Agree,Strongly Disagree,Strongly agree,Agree,Strongly agree,Yes,Female,White,"$90,000 to $149,999",Very Liberal,Slightly Too High,Moderately knowledgeable,Once a Week,Once a Week,6007,Treatment1
3/5/2021 1:00,3/5/2021 1:03,IP Address,100,183,TRUE,3/5/2021 1:03,R_8vHrZbn8w49tvwd,5543,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/5/2021,Asia,Likely,Likely,Agree,Agree,Unsure,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Yes,Male,Asian,"$60,000 to $89,999",Conservative,Just About Right,Slightly knowledgeable,A Few Times a Month,Never or Rarely,5543,Treatment2
3/5/2021 1:38,3/5/2021 1:41,IP Address,100,167,TRUE,3/5/2021 1:41,R_2fGNy7jutvBEBbq,6303,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/5/2021,North America,Very Likely,Very Likely,Strongly agree,Agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly Disagree,Strongly agree,Strongly Disagree,Agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Yes,Male,White,"$60,000 to $89,999",Very Liberal,Far Too Low,Extremely knowledgeable,Daily,Once a Week,6303,Treatment2
3/5/2021 1:40,3/5/2021 1:44,IP Address,100,233,TRUE,3/5/2021 1:44,R_3mmjRxThlB0gVmp,6086,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Neither Unlikely Nor Likely,Neither Unlikely Nor Likely,Agree,Unsure,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Unsure,Strongly agree,Yes,Male,Asian,"$90,000 to $149,999",Very Liberal,Too Low,Very knowledgeable,A Few Times a Month,Never or Rarely,6086,Treatment1
3/5/2021 7:06,3/5/2021 7:15,IP Address,100,552,TRUE,3/5/2021 7:15,R_2dz6mvjITrlFp8R,6252,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/5/2021,Asia,Neither Unlikely Nor Likely,Neither Unlikely Nor Likely,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Prefer not to answer,Male,Asian,"$60,000 to $89,999",Lean LIberal,Slightly Too High,Moderately knowledgeable,A Few Times a Month,A Few Times a Month,6252,Treatment2
3/5/2021 8:23,3/5/2021 8:26,IP Address,100,192,TRUE,3/5/2021 8:26,R_2dykeIv0aLveN4B,6254,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/12/2021,North America,Very Likely,Very Likely,Agree,Disagree,Agree,Unsure,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly agree,Yes,Male,White,"$60,000 to $89,999",Liberal,Slightly Too High,Slightly knowledgeable,A Few Times a Week,Once a Week,6254,Treatment1
3/5/2021 9:40,3/5/2021 9:42,IP Address,100,106,TRUE,3/5/2021 9:42,R_cSECwcn2jA1hHFf,6239,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/5/2021,North America,Likely,Neither Unlikely Nor Likely,Agree,Agree,Unsure,Disagree,Strongly agree,Unsure,Unsure,Agree,Strongly Disagree,Agree,Strongly Disagree,Unsure,Disagree,Agree,Agree,Agree,Yes,Female,Asian,"$90,000 to $149,999",Lean LIberal,Slightly Too Liow,Slightly knowledgeable,A Few Times a Month,Never or Rarely,6239,Treatment2
3/5/2021 10:26,3/5/2021 10:30,IP Address,100,282,TRUE,3/5/2021 10:30,R_3fwzyzFRyqZDRTo,6045,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/5/2021,North America,Very Likely,Very Likely,Unsure,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly Disagree,Unsure,Strongly Disagree,Unsure,Strongly Disagree,Disagree,Disagree,Strongly agree,Yes,Female,White,"$90,000 to $149,999",Very Liberal,Too Low,Very knowledgeable,A Few Times a Week,Once a Week,6045,Treatment1
3/5/2021 11:15,3/5/2021 11:20,IP Address,100,265,TRUE,3/5/2021 11:20,R_1Luns2g9qcTP0cR,6103,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/5/2021,North America,Very Likely,Very Likely,Unsure,Disagree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly agree,Unsure,Strongly agree,Yes,Female,White,"$90,000 to $149,999",Liberal,Slightly Too Liow,Slightly knowledgeable,Once a Week,Never or Rarely,6103,Treatment1
3/5/2021 11:17,3/5/2021 11:20,IP Address,100,181,TRUE,3/5/2021 11:20,R_10r2tDHqs9Sq0Jn,6036,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/5/2021,North America,Very Likely,Likely,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Unsure,Disagree,Agree,Agree,Unsure,Unsure,Yes,Male,White,"$150,000 or above",Centrist/Moderate,Slightly Too High,Moderately knowledgeable,Once a Month,Never or Rarely,6036,Treatment2
3/5/2021 11:45,3/5/2021 11:49,IP Address,100,206,TRUE,3/5/2021 11:49,R_2TueWLIUPXCgJyZ,3232,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/5/2021,North America,Neither Unlikely Nor Likely,Neither Unlikely Nor Likely,Agree,Disagree,Strongly agree,Unsure,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Unsure,Agree,Disagree,Agree,Yes,Female,White,"$90,000 to $149,999",Liberal,Slightly Too High,Moderately knowledgeable,Once a Month,Once a Month,3232,Treatment1
3/5/2021 11:49,3/5/2021 11:53,IP Address,100,227,TRUE,3/5/2021 11:53,R_3JmZiva7xbqhpIH,5048,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/5/2021,North America,Very Likely,Very Likely,Strongly agree,Disagree,Strongly agree,Unsure,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly Disagree,Agree,Disagree,Agree,Unsure,Strongly agree,Yes,Female,White,"$150,000 or above",Very Liberal,Too Low,Very knowledgeable,A Few Times a Month,Once a Month,5048,Treatment2
3/5/2021 12:00,3/5/2021 12:03,IP Address,100,202,TRUE,3/5/2021 12:03,R_3CIZCShbc0S8SEb,5600,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/5/2021,North America,Very Likely,Very Likely,Agree,Unsure,Agree,Unsure,Agree,Unsure,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Unsure,Agree,Unsure,Agree,Yes,Male,Latino or Hispanic,"$60,000 to $89,999",Lean LIberal,Too High,Not knowledgeable at all,Never or Rarely,Never or Rarely,5600,Treatment1
3/5/2021 13:20,3/5/2021 13:25,IP Address,100,312,TRUE,3/5/2021 13:25,R_vIhKCwk3pgv1bvr,6205,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/5/2021,North America,Likely,Likely,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly agree,Yes,Female,White,"$20,000 to $39,999",Liberal,Slightly Too Liow,Moderately knowledgeable,A Few Times a Week,Once a Week,6205,Treatment2
3/5/2021 13:21,3/5/2021 13:28,IP Address,100,412,TRUE,3/5/2021 13:28,R_33wOaaIUlKJNmNk,6213,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/5/2021,North America,Very Likely,Very Likely,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Unsure,Agree,Strongly agree,Yes,Male,Asian,"$150,000 or above",Very Liberal,Too Low,Very knowledgeable,A Few Times a Month,Once a Week,6213,Treatment1
